date,game_id,home,away,p_home,p_elo,model,result,final_margin,sp_margin,sp_line,p_sp_m75,p_sp_m35,p_sp_m05,p_sp_p35,p_sp_p75
2024-10-22,401704627,BOS,NY,0.6285713021189457,0.6867437254396582,v1-backfill,1.0,23.0,8.496489574210036,7.5,0.8973154928991873,0.8234777661494457,0.7616368406807906,0.6756360617403092,0.5308600277881044
2024-10-22,401704628,LAL,MIN,0.5692166776398514,0.5441822781154508,v1-backfill,1.0,7.0,3.070906413376087,3.5,0.8047197789168012,0.7103208095496306,0.6428873872212448,0.5278155943722133,0.3630298317707246
2024-10-23,401704629,DET,IND,0.3850355467961509,0.3897702806982549,v1-backfill,0.0,-6.0,-8.872192906563685,-9.5,0.46124066897469934,0.332312900948054,0.2584309037455909,0.18634983168844632,0.10394680903853856
2024-10-23,401704630,ATL,BKN,0.6145125662965416,0.6136261608601953,v1-backfill,1.0,4.0,5.58706909865911,5.5,0.8583630340564843,0.7787224879791214,0.7184792886203935,0.6077136740427291,0.43954478575699946
2024-10-23,401704631,MIA,ORL,0.5809434029168392,0.5932221708910875,v1-backfill,0.0,-19.0,3.249357347074142,3.5,0.8103128674302413,0.7166246175008654,0.6491676402720227,0.5331930081888387,0.3669830056387938
2024-10-23,401704632,PHI,MIL,0.4338211728408115,0.5907176078878184,v1-backfill,0.0,-15.0,-2.515205235691084,-4.5,0.6451460962169325,0.4890049647277804,0.3811606739486596,0.31408239973851526,0.21735113037549184
2024-10-23,401704633,TOR,CLE,0.3919903355329291,0.4558053411689096,v1-backfill,0.0,-30.0,-7.32657751391457,-7.5,0.5065769271011125,0.36503079481568,0.2797239651606924,0.20819247068997596,0.12207258225304533
2024-10-23,401704634,HOU,CHA,0.6609765946117573,0.6840155150206415,v1-backfill,0.0,-5.0,10.288663309673167,9.5,0.9224184218708991,0.8611167157836752,0.8075733038336995,0.7266736975859799,0.5857137440101758
2024-10-23,401704635,NO,CHI,0.6085682860015541,0.6209721043482965,v1-backfill,1.0,12.0,5.74072081090904,5.5,0.8560061973547258,0.7730054005353837,0.7096032009871015,0.6063934110433724,0.44636131139283985
2024-10-23,401704636,UTAH,MEM,0.5261974481145064,0.5949342062840227,v1-backfill,0.0,-2.0,2.3127468244518607,2.5,0.7808825511460169,0.6611446132694679,0.5715717489049097,0.478821269854251,0.34069637821212473
2024-10-23,401704637,LAC,PHX,0.3859598412795368,0.5771529556571225,v1-backfill,0.0,-3.0,-6.03877299467214,-6.5,0.5452298198163543,0.38547790118071396,0.2831151945023131,0.21953562517925115,0.13746335123560274
2024-10-23,401704638,POR,GS,0.4147988371152242,0.4155278538835522,v1-backfill,0.0,-36.0,-4.4197120057241985,-5.5,0.596609762810397,0.43844274811071554,0.3334168143066481,0.26219320715727207,0.16795703651236596
2024-10-24,401704639,WSH,BOS,0.3596077425329272,0.2796305848820095,v1-backfill,0.0,-20.0,-10.48795284695225,-10.5,0.4106598887243429,0.2818123204681039,0.2097072706407438,0.15020058842247094,0.08290460965927811
2024-10-24,401704640,DAL,SA,0.6384868458074294,0.7461615320689082,v1-backfill,1.0,11.0,8.260036671587828,7.5,0.9005127199092029,0.8317577295669685,0.7751546560934551,0.6799348074702455,0.5237256060540855
2024-10-24,401704641,DEN,OKC,0.5407083661958355,0.5939271730135391,v1-backfill,0.0,-15.0,1.8426649786078269,2.5,0.7721259733895186,0.6596138178776095,0.5786131700828866,0.47556123919525156,0.32768301050172227
2024-10-24,401704642,SAC,MIN,0.5386688793535269,0.5339525724096976,v1-backfill,0.0,-2.0,1.3771724327632615,2.5,0.7609258459082597,0.6536169433478575,0.5789795696918395,0.469429713776258,0.31620723453885907
2024-10-25,401704643,ORL,BKN,0.6371513405968989,0.6753544925925785,v1-backfill,1.0,15.0,8.144658663703062,7.5,0.8940888999027616,0.8226482971730299,0.7644401831257652,0.6727804382186479,0.5212707029704535
2024-10-25,401704644,TOR,PHI,0.3607081404956248,0.453719178651353,v1-backfill,1.0,8.0,-8.31336925110196,-8.5,0.4747725404063905,0.3316772202676149,0.24669910245766713,0.18309207139679093,0.10687268856712734
2024-10-25,401704645,ATL,CHA,0.5994892983400671,0.652654014447665,v1-backfill,1.0,5.0,5.584952704526468,5.5,0.8473916628744623,0.7544775464680044,0.6819276550673916,0.5890937861014268,0.44181853916184266
2024-10-25,401704646,CLE,DET,0.6922837853704646,0.7568914910477638,v1-backfill,1.0,12.0,10.774974173872089,9.5,0.9312541705640025,0.8784869564035939,0.8329975884196732,0.7488621958793841,0.6025989782810448
2024-10-25,401704647,NY,IND,0.4904660770263462,0.5837417808508379,v1-backfill,1.0,25.0,-1.2938714063730723,-1.5,0.6858630856904975,0.5606752365463883,0.4770962904161615,0.38018997540884975,0.24888734748666855
2024-10-25,401704648,HOU,MEM,0.6457148006524458,0.6350992222258881,v1-backfill,1.0,20.0,9.645260321627891,8.5,0.9034042113422652,0.8298585319563236,0.7666862944154946,0.6936894398428132,0.5647194511033562
2024-10-25,401704649,MIL,CHI,0.6347868307187895,0.6327432480338153,v1-backfill,0.0,-11.0,6.813950360516094,6.5,0.8726165879143961,0.7981353596816239,0.7409174828636376,0.6409573682507571,0.4818951571279708
2024-10-25,401704650,UTAH,GS,0.4004603467010183,0.4413003559712992,v1-backfill,0.0,-41.0,-6.342388055278514,-7.5,0.5356080829862147,0.3958713366578291,0.3104712944449293,0.23522537444041655,0.14188916957149011
2024-10-25,401704651,LAL,PHX,0.5612051981733,0.5796642553070009,v1-backfill,1.0,7.0,3.7794170960679074,3.5,0.8154981023911728,0.7130099979864443,0.6358518282365277,0.5357206152703466,0.3848951367505776
2024-10-25,401704652,POR,NO,0.3976805228750679,0.415507702554235,v1-backfill,0.0,-2.0,-5.37008945544202,-6.5,0.5599367152137522,0.4110474793140106,0.31676227351251457,0.25040455099594794,0.1617829517737641
