date,game_id,season,home,away,p_home,p_elo,model,result
2024-10-15,2024020055,2024,CGY,CHI,0.7302450597447527,0.6505418053488647,v1-backfill,1.0
2024-10-15,2024020056,2024,EDM,PHI,0.6277850914913262,0.6266968042005981,v1-backfill,1.0
2024-10-16,2024020057,2024,PIT,BUF,0.5467026016457914,0.5611405899270928,v1-backfill,1.0
2024-10-16,2024020058,2024,TOR,LAK,0.6455165838958108,0.5821244238605259,v1-backfill,1.0
2024-10-16,2024020059,2024,COL,BOS,0.6886220914140093,0.5409852817334453,v1-backfill,0.0
2024-10-16,2024020060,2024,ANA,UTA,0.4914221771747075,0.4920616462798686,v1-backfill,1.0
2024-10-17,2024020061,2024,MTL,LAK,0.5166801986780905,0.4838755519209931,v1-backfill,0.0
2024-10-17,2024020062,2024,OTT,NJD,0.5843083805722719,0.5327770979230722,v1-backfill,0.0
2024-10-17,2024020063,2024,DET,NYR,0.4763681052572285,0.4510763890710926,v1-backfill,0.0
2024-10-17,2024020064,2024,TBL,VGK,0.5844982341118057,0.5454503631781913,v1-backfill,1.0
2024-10-17,2024020065,2024,FLA,VAN,0.6285643237971837,0.6153893951285726,v1-backfill,0.0
2024-10-17,2024020066,2024,WSH,DAL,0.4655606120117193,0.4538382215082198,v1-backfill,1.0
2024-10-17,2024020067,2024,CBJ,BUF,0.5564509524860396,0.4910393915392108,v1-backfill,1.0
2024-10-17,2024020068,2024,STL,NYI,0.547048515270245,0.5557032788239064,v1-backfill,1.0
2024-10-17,2024020069,2024,NSH,EDM,0.5508396415712218,0.5057848126969949,v1-backfill,0.0
2024-10-17,2024020070,2024,CHI,SJS,0.593332998829559,0.5811106807593419,v1-backfill,1.0
2024-10-17,2024020071,2024,SEA,PHI,0.493511464252823,0.5597652605046054,v1-backfill,1.0
2024-10-18,2024020072,2024,PIT,CAR,0.3743030339346133,0.4772167180431421,v1-backfill,0.0
2024-10-18,2024020073,2024,WPG,SJS,0.8265155828834049,0.7288826123192432,v1-backfill,1.0
2024-10-18,2024020074,2024,COL,ANA,0.7426030261838676,0.66498235420224,v1-backfill,1.0
2024-10-19,2024020075,2024,OTT,TBL,0.4820081097753751,0.4848150584581316,v1-backfill,1.0
2024-10-19,2024020076,2024,NSH,DET,0.6609362826539165,0.5739679230136628,v1-backfill,0.0
2024-10-19,2024020077,2024,DAL,EDM,0.5217683343085519,0.5678725569193428,v1-backfill,1.0
2024-10-19,2024020078,2024,FLA,VGK,0.638900177847538,0.6000639254503636,v1-backfill,1.0
