date,game_id,week,season,home,away,p_home,p_elo,model,result,final_margin,sp_margin,sp_line,p_sp_elo,sp_ver,p_sp_m75,p_sp_m35,p_sp_m05,p_sp_p35,p_sp_p75,cal,pick_team,pick_side,pick_line,pick_p,pick_push,home_line,away_line,pick_p_win,pick_p_cover,mode_margin,mode_p,median_team,median_line,pick_rule,pick,pick_claim,pick_prob,pick_result,pick_held,k_-20.5,k_-13.5,k_-9.5,k_-6.5,k_-5.5,k_-2.5,k_+3.5,k_+6.5,k_+7.5,k_+10.5,k_+14.5,k_+21.5,mkt_line,mkt_books,mkt_books_total,mkt_agree,model_total,ref_total,ref_home_ml,ref_away_ml
2024-09-08,2024_01_WAS_TB,1,2024,TB,WAS,0.8100334115862818,0.669811120479092,v1-backfill,17.0,17.0,11.238306029943956,10.5,0.5743221449447912,3,0.9404241430672444,0.8828038817517925,0.8100334115862818,0.6945541992292168,0.5570954322110111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-09,2024_01_NYJ_SF,1,2024,SF,NYJ,0.8466204791759971,0.7278343822313074,v1-backfill,13.0,13.0,12.32425195995213,11.5,0.6259233598146732,3,0.9602040971924332,0.9124444393984704,0.8466204791759971,0.728077084225102,0.5863129089676212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-12,2024_02_BUF_MIA,2,2024,MIA,BUF,0.374862478827096,0.5177267794238907,v1-backfill,-21.0,-21.0,-2.7777533409397868,-3.5,0.362162058883208,3,0.7093681342276972,0.5459132878311336,0.374862478827096,0.262225120518499,0.159264370475382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_CHI_HOU,2,2024,HOU,CHI,0.7377156259890179,0.6094606586978524,v1-backfill,6.0,6.0,6.978299982554463,6.5,0.4858567820839737,3,0.8954244886401461,0.8213153830990314,0.7377156259890179,0.5881005361394158,0.4275596303849704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_CIN_KC,2,2024,KC,CIN,0.7252972131383184,0.6884679905181837,v1-backfill,1.0,1.0,7.222796421193885,6.5,0.552960890357982,3,0.9084172326542344,0.8262093179724425,0.7252972131383184,0.5825412339784515,0.4278317036150014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_CLE_JAX,2,2024,JAX,CLE,0.6351899387993797,0.5423781791155317,v1-backfill,-5.0,-5.0,3.710167681346512,3.5,0.408298331990457,3,0.8545259056450772,0.7514538591126575,0.6351899387993797,0.4781663468317073,0.3214943606437966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_IND_GB,2,2024,GB,IND,0.6283532835300819,0.6408437106105705,v1-backfill,6.0,6.0,5.774426501055555,4.5,0.5301952086894826,3,0.8643062824823282,0.7558860983598779,0.6283532835300819,0.5198613870682156,0.3973956059520577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_LAC_CAR,2,2024,CAR,LAC,0.3649946909772564,0.4894966368574372,v1-backfill,-23.0,-23.0,-3.676840736041452,-3.5,0.3340330394915517,3,0.6794679462658036,0.5225175919871994,0.3649946909772564,0.2490727756744958,0.1461127487277947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_LA_ARI,2,2024,ARI,LA,0.3247274626047093,0.4708798770466391,v1-backfill,31.0,31.0,-4.904230781524795,-4.5,0.3220074293366431,3,0.6389028627107807,0.4797270130275399,0.3247274626047093,0.2220622722809549,0.1306542942842705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_LV_BAL,2,2024,BAL,LV,0.7562579999423922,0.6659805033520205,v1-backfill,-3.0,-3.0,8.53777247264306,6.5,0.546456030707927,3,0.9236511984757524,0.8497023518873907,0.7562579999423922,0.6205312959757857,0.4690914040963532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
