date,fight_id,event,A,B,p_win_a,p_elo,p_distance,p_a_ko,p_a_sub,p_a_dec,p_b_ko,p_b_sub,p_b_dec,model,result,went_dist,close,meth_pick,meth_p,meth_base,meth_hit
2026-01-24,bf0,UFC 324,Justin Gaethje,Paddy Pimblett,0.4697230887490186,0.6042242456547082,0.4025530292480742,0.2136446389660309,0.0406625882162157,0.2154158615667721,0.1921311963969146,0.1510085471727644,0.1871371676813021,v1-backfill,1.0,True,,,,,
2026-01-24,bf1,UFC 324,Sean O Malley,Song Yadong,0.396827474009896,0.4684964226773468,0.512890560661714,0.172464628478984,0.0297969024743028,0.194565943056609,0.2080057973875082,0.0768421109974908,0.3183246176051049,v1-backfill,1.0,True,,,,,
2026-01-24,bf2,UFC 324,Derrick Lewis,Waldo Cortes Acosta,0.3372995336578175,0.4868140291630919,0.3938619824720528,0.1773098125687589,0.0200305477981953,0.1399591732908632,0.3672885891032505,0.0415090680577424,0.2539028091811895,v1-backfill,0.0,False,,,,,
2026-01-24,bf3,UFC 324,Natalia Silva,Rose Namajunas,0.6265255170925617,0.4919394459910456,0.6427560234185496,0.1877952811283491,0.051113366478162,0.3876168694860505,0.0684537712533129,0.0498815577216263,0.2551391539324991,v1-backfill,1.0,True,,,,,
2026-01-24,bf4,UFC 324,Arnold Allen,Jean Silva,0.5337867822971519,0.5829658586566429,0.5356926793734547,0.1471402173500446,0.0574742180597189,0.3291723468873883,0.1895290593060586,0.070163825910723,0.2065203324860663,v1-backfill,0.0,True,,,,,
2026-01-24,bf5,UFC 324,Deiveson Figueiredo,Umar Nurmagomedov,0.3493830579954358,0.5156788527744222,0.6152880593425455,0.0628263011770519,0.0590579676405869,0.2274987891777969,0.1701806792623739,0.0926469925774417,0.3877892701647485,v1-backfill,0.0,True,,,,,
2026-01-24,bf6,UFC 324,Andrey Pulyaev,Ateba Gautier,0.2877360026364032,0.429930492870946,0.4184993930251082,0.1084362851518673,0.0456632985030921,0.1336364189814437,0.3506323496893316,0.0767686736306006,0.2848629740436644,v1-backfill,0.0,True,,,,,
2026-01-24,bf7,UFC 324,Modestas Bukauskas,Nikita Krylov,0.6102529648855702,0.5184478844285219,0.369886396385938,0.2858377525215055,0.0945953661013416,0.2298198462627231,0.1818107837218983,0.0678697012693164,0.1400665501232149,v1-backfill,0.0,False,,,,,
2026-01-24,bf8,UFC 324,Alex Perez,Charles Johnson,0.4358470633319775,0.4771039482190966,0.5587510169662412,0.124606902176538,0.067960843138509,0.2432793180169304,0.1676984659780638,0.0809827717406478,0.3154716989493107,v1-backfill,1.0,False,,,,,
2026-01-24,bf9,UFC 324,Denzel Freeman,Josh Hokit,0.357435977739184,0.4202593314193719,0.3972230370406175,0.1233697733940558,0.0554816894712782,0.1785845148738498,0.2255209398223955,0.1984045602716528,0.2186385221667676,v1-backfill,0.0,False,,,,,
2026-01-24,bf10,UFC 324,Adam Fugitt,Ty Miller,0.4720962250471216,0.4706025264369071,0.5042049704223925,0.1287975020107755,0.0563250643496701,0.2869736586866759,0.1974047316885911,0.1132677315285706,0.2172313117357165,v1-backfill,0.0,False,,,,,
