date,game_id,home,away,p_home,p_home_elo,model,result
20260530,401856950,CON,LA,0.3002241640761479,0.4735746792221688,v1.1-backfill,1.0
20260530,401856951,POR,IND,0.2557791480785528,0.4534660303233535,v1.1-backfill,1.0
20260531,401856952,GS,LV,0.3277353723868598,0.4919192669706567,v1.1-backfill,0.0
20260601,401856953,DAL,SEA,0.8086032239609046,0.5712621075017363,v1.1-backfill,1.0
20260601,401856954,PHX,MIN,0.3584414447696993,0.4475494299874168,v1.1-backfill,0.0
20260602,401856955,ATL,CON,0.8492694965810662,0.7457446615650722,v1.1-backfill,1.0
20260602,401856956,WSH,CHI,0.2988669328293333,0.6290575886003549,v1.1-backfill,1.0
20260602,401856957,GS,POR,0.7572665628106934,0.6760063981550872,v1.1-backfill,1.0
20260602,401856958,LA,LV,0.324340243230973,0.4538626938614236,v1.1-backfill,0.0
20260603,401856959,NY,TOR,0.7889417208514129,0.7078935538875094,v1.1-backfill,1.0
20260603,401856960,SEA,PHX,0.3662500065610362,0.5705867951288899,v1.1-backfill,0.0
20260604,401856961,IND,ATL,0.477966770978997,0.5122382233416085,v1.1-backfill,1.0
20260604,401856962,MIN,GS,0.7790597664122205,0.6916810035793772,v1.1-backfill,1.0
20260605,401856963,CHI,CON,0.7474457991865949,0.5771045631291664,v1.1-backfill,1.0
20260605,401856964,LA,DAL,0.5327456375390072,0.605387566020729,v1.1-backfill,0.0
20260605,401856965,POR,PHX,0.5913597842419952,0.5047164034703615,v1.1-backfill,0.0
20260606,401856966,MIN,SEA,0.9128448949644647,0.7550789634962244,v1.1-backfill,1.0
20260606,401856967,LV,GS,0.7448460574421136,0.7014212186000977,v1.1-backfill,1.0
20260606,401856968,ATL,WSH,0.8469239879999476,0.7029376591254259,v1.1-backfill,1.0
20260606,401856969,NY,IND,0.522610830752173,0.6001123510441134,v1.1-backfill,1.0
20260607,401856970,TOR,CHI,0.4228621370267573,0.5827002640983702,v1.1-backfill,1.0
20260607,401856971,LA,POR,0.8243207224514331,0.657485822504218,v1.1-backfill,1.0
20260608,401856972,CON,NY,0.160978133351156,0.4214240348828985,v1.1-backfill,0.0
20260608,401856973,WSH,IND,0.2420899727440943,0.5113720258802877,v1.1-backfill,0.0
20260608,401856974,LV,SEA,0.9077878498064176,0.7622826475502437,v1.1-backfill,1.0
20260609,401856975,CHI,ATL,0.2765272128212401,0.3897141174809036,v1.1-backfill,0.0
20260609,401856976,MIN,DAL,0.778557718447892,0.7348834238078926,v1.1-backfill,1.0
20260609,401856977,GS,PHX,0.6253030414716823,0.5905538806506814,v1.1-backfill,1.0
20260610,401856978,TOR,CON,0.6923284861244436,0.6117153737928643,v1.1-backfill,1.0
20260610,401856979,SEA,LA,0.2914439660442074,0.5422553774633683,v1.1-backfill,0.0
20260611,401856980,IND,CHI,0.7434295499687005,0.7214197908322771,v1.1-backfill,1.0
20260611,401856981,ATL,NY,0.6329846549539743,0.617518128334116,v1.1-backfill,0.0
20260611,401856982,DAL,PHX,0.6598271732515387,0.5682829684976193,v1.1-backfill,1.0
20260611,401856983,POR,LV,0.0968230859521621,0.3291344609111988,v1.1-backfill,0.0
20260612,401856984,WSH,TOR,0.4712873744246245,0.6035834999179654,v1.1-backfill,1.0
20260612,401856985,SEA,GS,0.3352967207307215,0.494919726841002,v1.1-backfill,0.0
20260613,401856986,CON,IND,0.2242026115165982,0.4182267524999206,v1.1-backfill,0.0
20260613,401856987,LV,MIN,0.603634892101021,0.5908332499457695,v1.1-backfill,1.0
20260613,401856988,POR,DAL,0.3241067850534846,0.4831364642576295,v1.1-backfill,1.0
20260613,401856989,PHX,LA,0.4582928817893812,0.5742456889131186,v1.1-backfill,0.0
20260614,401856990,NY,WSH,0.8939993061572624,0.7080154458869783,v1.1-backfill,1.0
20260614,401856991,TOR,ATL,0.2261163613337606,0.4102500802328891,v1.1-backfill,0.0
20260615,401856992,DAL,LV,0.3350213148643335,0.3905135109942605,v1.1-backfill,1.0
20260615,401856993,MIN,POR,0.9271110739195,0.7951402425901701,v1.1-backfill,1.0
20260615,401856994,GS,LA,0.5049642207378772,0.6053820975295089,v1.1-backfill,1.0
20260616,401856995,IND,TOR,0.8241593308412533,0.7217148918744108,v1.1-backfill,1.0
20260617,401856996,CON,WSH,0.6107037465372517,0.510386644550309,v1.1-backfill,0.0
20260617,401856997,CHI,NY,0.2164468651223635,0.3784601753922234,v1.1-backfill,0.0
20260617,401856998,GS,DAL,0.4844872997752836,0.6331728996323017,v1.1-backfill,1.0
20260617,401856999,LA,MIN,0.2530587210884161,0.4340680839407854,v1.1-backfill,0.0
20260617,401857000,PHX,LV,0.255417587977628,0.4005221148858078,v1.1-backfill,0.0
20260617,401857001,POR,SEA,0.5032471756403784,0.5610645582085763,v1.1-backfill,1.0
20260618,401857002,IND,ATL,0.5110643817220377,0.5485279439177824,v1.1-backfill,0.0
20260619,401857003,CON,TOR,0.6079736432494924,0.5446610752832152,v1.1-backfill,0.0
20260619,401857004,NY,WSH,0.8696305853125051,0.7165474375323743,v1.1-backfill,0.0
20260619,401857005,GS,MIN,0.3030163326801829,0.4709776340400509,v1.1-backfill,0.0
20260620,401857006,ATL,IND,0.6141767063653676,0.644991032620526,v1.1-backfill,1.0
20260620,401857007,PHX,SEA,0.6737621803611232,0.6390575443374148,v1.1-backfill,1.0
20260620,401857008,DAL,CHI,0.7380772364333854,0.68457426409626,v1.1-backfill,1.0
20260621,401857009,LV,GS,0.763054096614068,0.704678089925573,v1.1-backfill,1.0
20260621,401857010,MIN,WSH,0.8940071765096792,0.7600075996896232,v1.1-backfill,0.0
20260621,401857011,LA,NY,0.4272573999684713,0.4921769126210054,v1.1-backfill,1.0
20260622,401857012,CON,CHI,0.3819384314859698,0.5635549686473399,v1.1-backfill,1.0
20260622,401857013,ATL,TOR,0.8891944866013404,0.7663765028048313,v1.1-backfill,1.0
20260622,401857014,IND,PHX,0.7216425189553712,0.6523538675817895,v1.1-backfill,1.0
20260622,401857015,SEA,DAL,0.2622336574307481,0.4959233103708556,v1.1-backfill,0.0
20260623,401857016,LV,NY,0.6477614188879517,0.6797442567420956,v1.1-backfill,0.0
20260624,401857017,IND,PHX,0.7711806957387847,0.666731920904348,v1.1-backfill,0.0
20260624,401857018,WSH,MIN,0.1910627469731459,0.4202013044520405,v1.1-backfill,0.0
20260624,401857019,CHI,POR,0.724654278631941,0.5411815271764568,v1.1-backfill,1.0
20260624,401857020,GS,ATL,0.3966475462603496,0.4901214172081525,v1.1-backfill,1.0
20260625,401857021,TOR,LA,0.4495727145582258,0.4890878675484756,v1.1-backfill,1.0
20260625,401857022,LV,DAL,0.7177640805897066,0.7279406026872636,v1.1-backfill,1.0
20260625,401857023,SEA,NY,0.3281926181759007,0.3859246803820959,v1.1-backfill,1.0
