date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-14,2024020044,2024,NJD,UTA,0.6179613130565494,0.625907582034447,0.5769953746423981,v2-decomp-backfill,1.0
2024-10-14,2024020045,2024,NYR,DET,0.6762331674776197,0.6920985931417641,0.637820514968289,v2-decomp-backfill,1.0
2024-10-14,2024020046,2024,MTL,PIT,0.4638863523264949,0.4646924811643126,0.503256194072152,v2-decomp-backfill,0.0
2024-10-14,2024020047,2024,COL,NYI,0.6528319813047988,0.6794484691937606,0.6080890106400912,v2-decomp-backfill,0.0
2024-10-15,2024020048,2024,TBL,VAN,0.5985421636167892,0.6199753443399505,0.5514115301717067,v2-decomp-backfill,1.0
2024-10-15,2024020049,2024,WSH,VGK,0.4771572293065101,0.4668163625025033,0.481774592239116,v2-decomp-backfill,1.0
2024-10-15,2024020050,2024,CAR,NJD,0.7802953705237896,0.774439746531801,0.6126943366398342,v2-decomp-backfill,1.0
2024-10-15,2024020051,2024,CBJ,FLA,0.4000172908396864,0.3948667290474111,0.391468268390548,v2-decomp-backfill,0.0
2024-10-15,2024020052,2024,STL,MIN,0.5235396460535274,0.5331786076972904,0.5581891756635724,v2-decomp-backfill,0.0
2024-10-15,2024020053,2024,NSH,SEA,0.6843992864416918,0.6944347998818806,0.5938159340668667,v2-decomp-backfill,0.0
2024-10-15,2024020054,2024,DAL,SJS,0.7606987179160851,0.7925188058845613,0.7431009524568198,v2-decomp-backfill,1.0
2024-10-15,2024020055,2024,CGY,CHI,0.6987227386578688,0.7302450597447527,0.6505418053488647,v2-decomp-backfill,1.0
2024-10-15,2024020056,2024,EDM,PHI,0.5946986210229256,0.6277850914913262,0.6266968042005981,v2-decomp-backfill,1.0
2024-10-16,2024020057,2024,PIT,BUF,0.5482934991429758,0.5467026016457914,0.5611405899270928,v2-decomp-backfill,1.0
2024-10-16,2024020058,2024,TOR,LAK,0.6271947988255472,0.6455165838958108,0.5821244238605259,v2-decomp-backfill,1.0
2024-10-16,2024020059,2024,COL,BOS,0.6564801517869772,0.6886220914140093,0.5409852817334453,v2-decomp-backfill,0.0
2024-10-16,2024020060,2024,ANA,UTA,0.5048899015141605,0.4914221771747075,0.4920616462798686,v2-decomp-backfill,1.0
2024-10-17,2024020061,2024,MTL,LAK,0.5046144031676307,0.5166801986780905,0.4838755519209931,v2-decomp-backfill,0.0
2024-10-17,2024020062,2024,OTT,NJD,0.5958918034124422,0.5843083805722719,0.5327770979230722,v2-decomp-backfill,0.0
2024-10-17,2024020063,2024,DET,NYR,0.4734504817363763,0.4763681052572285,0.4510763890710926,v2-decomp-backfill,0.0
2024-10-17,2024020064,2024,TBL,VGK,0.5844645794134111,0.5844982341118057,0.5454503631781913,v2-decomp-backfill,1.0
2024-10-17,2024020065,2024,FLA,VAN,0.5874858012477575,0.6285643237971837,0.6153893951285726,v2-decomp-backfill,0.0
2024-10-17,2024020066,2024,WSH,DAL,0.4628032326699419,0.4655606120117193,0.4538382215082198,v2-decomp-backfill,1.0
2024-10-17,2024020067,2024,CBJ,BUF,0.5518349520456994,0.5564509524860396,0.4910393915392108,v2-decomp-backfill,1.0
2024-10-17,2024020068,2024,STL,NYI,0.5342607799948458,0.547048515270245,0.5557032788239064,v2-decomp-backfill,1.0
2024-10-17,2024020069,2024,NSH,EDM,0.5434793971513586,0.5508396415712218,0.5057848126969949,v2-decomp-backfill,0.0
2024-10-17,2024020070,2024,CHI,SJS,0.5826545138708163,0.593332998829559,0.5811106807593419,v2-decomp-backfill,1.0
2024-10-17,2024020071,2024,SEA,PHI,0.4928731877112325,0.493511464252823,0.5597652605046054,v2-decomp-backfill,1.0
2024-10-18,2024020072,2024,PIT,CAR,0.3758887448400672,0.3743030339346133,0.4772167180431421,v2-decomp-backfill,0.0
2024-10-18,2024020073,2024,WPG,SJS,0.8088014816289957,0.8265155828834049,0.7288826123192432,v2-decomp-backfill,1.0
