date,gamePk,home,away,p_home,p_home_elo,model,h5,a5,result
20260331,823322,SD,SF,0.3988495343088448,0.5204114253564424,v2-backfill,3.0,4.0,0.0
20260331,823485,PHI,WSH,0.6236753814256283,0.5753243056562679,v2-backfill,3.0,0.0,1.0
20260331,823807,MIL,TB,0.6224160349776634,0.5512687175073859,v2-backfill,3.0,2.0,1.0
20260331,823888,MIA,CWS,0.5864790413365902,0.5064604895859179,v2-backfill,4.0,2.0,1.0
20260331,823969,LAD,CLE,0.6054821038706961,0.556711527235805,v2-backfill,1.0,0.0,1.0
20260331,824212,HOU,BOS,0.6271654766158703,0.5131066454752173,v2-backfill,6.0,1.0,1.0
20260331,824537,CIN,PIT,0.511765732283612,0.5274672995675401,v2-backfill,1.0,6.0,0.0
20260331,824942,ATL,ATH,0.5688961867023291,0.5365635850478052,v2-backfill,2.0,5.0,0.0
20260331,825107,AZ,DET,0.5594347050619994,0.53307966487982,v2-backfill,1.0,5.0,0.0
20260401,822835,TOR,COL,0.7125407817644557,0.604319007979309,v2-backfill,1.0,0.0,1.0
20260401,823157,SEA,NYY,0.5279408461464886,0.4855635901821032,v2-backfill,0.0,1.0,0.0
20260401,823321,SD,SF,0.636039936162997,0.5144273113284437,v2-backfill,2.0,0.0,1.0
20260401,823889,MIA,CWS,0.5295986815814158,0.5121405459985623,v2-backfill,8.0,0.0,1.0
20260401,823970,LAD,CLE,0.6370439913853755,0.5617434180562884,v2-backfill,0.0,2.0,0.0
20260401,824136,KC,MIN,0.465875554939551,0.5335146266495475,v2-backfill,5.0,1.0,1.0
20260401,824211,HOU,BOS,0.4605396098380155,0.5187064802899478,v2-backfill,5.0,2.0,1.0
20260401,824536,CIN,PIT,0.4660886065070205,0.5214091899868433,v2-backfill,1.0,3.0,0.0
20260401,824698,CHC,LAA,0.6387133918674448,0.587106185748444,v2-backfill,5.0,0.0,1.0
20260401,824860,BAL,TEX,0.4658321807330226,0.4900396486188563,v2-backfill,7.0,2.0,1.0
20260401,824940,ATL,ATH,0.6653800859087023,0.5304139596008188,v2-backfill,5.0,1.0,1.0
20260401,825106,AZ,DET,0.441799798125621,0.5269645629276207,v2-backfill,1.0,0.0,1.0
20260402,823242,SF,NYM,0.4734564439119224,0.501373955982917,v2-backfill,6.0,2.0,1.0
